lead_id,account_id,email,first_touch_channel,first_touch_session_id,utm_source,utm_medium,campaign,landing_page,lead_score,lead_date,is_mql,converted_to_opp_date
LEAD-000001,ACC-00460,contato0@jesus.com.br,direct,SES-00039596,(direct),(none),,/lp/comparativo-erp,59,2023-01-01,0,
LEAD-000002,ACC-00458,contato1@aparecida-me.com.br,paid_search,SES-00088952,google,cpc,google_branded_2023,/lp/roi-calculator,55,2023-01-01,0,
LEAD-000003,ACC-01417,contato2@nunes.com.br,paid_search,SES-00009342,google,cpc,google_branded_2023,/lp/roi-calculator,22,2023-01-02,0,
LEAD-000004,ACC-01442,contato3@montenegronu.org.br,organic_search,SES-00075547,google,organic,(none),/lp/demo-gratis,44,2023-01-03,0,
LEAD-000005,ACC-01677,contato4@rios.org.br,meta_ads,SES-00128120,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,47,2023-01-03,0,
LEAD-000006,ACC-00780,contato5@pires.com.br,meta_ads,SES-00034706,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,29,2023-01-03,0,
LEAD-000007,ACC-01330,contato6@leão.com.br,direct,SES-00038779,(direct),(none),(direct),/lp/comparativo-erp,35,2023-01-03,0,
LEAD-000008,ACC-00299,contato7@montenegroef.com.br,paid_search,SES-00074809,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,33,2023-01-04,0,
LEAD-000009,ACC-00372,contato8@moura.com.br,paid_search,SES-00124854,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,38,2023-01-04,0,
LEAD-000010,ACC-00673,contato9@cavalcanti.org.br,direct,SES-00001514,(direct),(none),,/lp/comparativo-erp,27,2023-01-04,0,
LEAD-000011,ACC-01186,contato10@ramoss.a..com.br,meta_ads,SES-00039517,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,16,2023-01-04,0,
LEAD-000012,ACC-00718,contato11@portodarocha.com.br,organic_search,SES-00115527,google,organic,,/lp/demo-gratis,40,2023-01-05,0,
LEAD-000013,ACC-00501,contato12@albuquerque.com.br,paid_search,SES-00048980,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,51,2023-01-05,0,
LEAD-000014,ACC-01515,contato13@souza.com.br,paid_search,SES-00034845,google,cpc,google_branded_2023,/lp/roi-calculator,22,2023-01-05,0,
LEAD-000015,ACC-00296,contato14@ramoss/a.com.br,organic_search,SES-00012522,google,organic,(not set),/lp/demo-gratis,33,2023-01-05,0,
LEAD-000016,ACC-00152,contato15@barros.org.br,direct,SES-00147104,(direct),(none),(direct),/lp/comparativo-erp,44,2023-01-05,0,
LEAD-000017,ACC-00808,contato16@britos/a.org.br,organic_search,SES-00142816,google,organic,,/lp/demo-gratis,16,2023-01-05,0,
LEAD-000018,ACC-01279,contato17@siqueiraroch.com.br,organic_search,SES-00145395,google,organic,,/lp/demo-gratis,34,2023-01-06,0,
LEAD-000019,ACC-01918,contato18@ribeiro.org.br,meta_ads,SES-00101314,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,39,2023-01-06,0,
LEAD-000020,ACC-00086,contato19@sampaio.com.br,organic_search,SES-00081022,google,organic,(none),/lp/demo-gratis,39,2023-01-06,0,
LEAD-000021,ACC-01098,contato20@dias-ei.com.br,direct,SES-00126475,(direct),(none),,/lp/comparativo-erp,45,2023-01-06,0,
LEAD-000022,ACC-00639,contato21@daconceiçãoe.com.br,organic_search,SES-00128664,google,organic,,/lp/demo-gratis,36,2023-01-06,0,
LEAD-000023,ACC-00952,contato22@dacunha.net.br,meta_ads,SES-00117291,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,29,2023-01-09,0,
